MOF_name,fun,delta_FE,delta_dLM_FE,delta_SE,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2Br_Chnl_1-ntn_edge,2Br,-1.002947519999999,-1.002947519,0.9899277713456032,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CF3_Chnl_1-ntn_edge,2CF3,-1.4361587999999994,-1.540369319,0.7141568617077416,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CH3_Chnl_1-ntn_edge,2CH3,-0.2852905599999999,-0.3895010830000001,-0.3996369191777003,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CN_Chnl_1-ntn_edge,2CN,-0.2798102799999995,-0.32116365,0.282923396469676,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2F_Chnl_1-ntn_edge,2F,-0.7648897599999991,-0.7648897600000001,0.341225247269179,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.4197569600000008,-0.495271823,0.0698326975067287,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2NO2_Chnl_1-ntn_edge,2NO2,-0.0272284700000007,-0.102743336,1.7847209697594186,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2OH_Chnl_1-ntn_edge,2OH,-0.5787403799999993,-0.620093756,0.1819561350550431,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,36.02968,1.0,2395.17435544,1.36631,2342.81619784,0.99025,1.6062,0.89,-1.24,0.435136,3.066,4.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2SH_Chnl_1-ntn_edge,2SH,-0.6243413800000006,-0.665694754,1.1730611194119236,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_ffc_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4Br_Chnl_1-ntn_edge,4Br,-0.6325688800000009,-0.6325688770000001,3.1888601233575367,0.828075,0.2784810126582278,1857.94,4868.72,2.620490136,0.019966621,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
